filename,chroma_vector,rms,centroid_points,bandwidth,rolloff_points,zero_crossings,Bpm,time_duration,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
0,0.7742417454719543,0.017445184290409088,143.43986883848254,231.28073512633563,352.29973479688516,0.005784719115972674,135.99917763157896,35.66603174603175,-570.2750244140625,123.56919860839844,80.89955139160156,32.086151123046875,-2.4344663619995117,-12.008072853088379,-0.09554853290319443,19.669334411621094,32.619598388671875,31.467824935913086,19.105337142944336,4.872758865356445,-2.474656343460083,-0.23282864689826965,7.580840587615967,14.050788879394531,14.485861778259277,9.229942321777344,2.599727153778076,-0.7662456035614014
1,0.6550066471099854,0.011589976027607918,137.12675713987738,184.2548113422938,236.79329717079622,0.007190457962138084,117.45383522727273,20.828526077097507,-621.6244506835938,143.1676788330078,98.92312622070312,47.740604400634766,9.957511901855469,-3.686288595199585,3.812532901763916,19.422513961791992,29.069969177246094,25.916128158569336,12.996543884277344,-0.5611388087272644,-6.536337375640869,-2.928161382675171,5.616431713104248,11.864025115966797,11.274971008300781,4.757993221282959,-2.6693553924560547,-5.885894298553467
2,0.7890757918357849,0.016529181972146034,81.04967343181364,150.7689960822907,110.5365672500472,0.0032169768457326283,117.45383522727273,30.72,-593.9935913085938,83.84603881835938,60.110130310058594,33.70175552368164,16.109085083007812,12.41353702545166,19.253192901611328,28.003257751464844,30.734893798828125,24.971370697021484,14.383721351623535,5.450137138366699,2.7360644340515137,6.091297626495361,11.412605285644531,14.005943298339844,11.904769897460938,6.840014934539795,2.470181465148926,1.462638020515442
3,0.7616939544677734,0.02142348885536194,86.09535139913393,138.9788803370304,139.06743374144395,0.003647467303617992,117.45383522727273,35.59650793650793,-558.6962890625,92.47486114501953,71.04261016845703,45.162315368652344,24.22216796875,13.858030319213867,13.83049488067627,19.135900497436523,23.43138313293457,22.66150665283203,16.83633041381836,9.196617126464844,3.6453793048858643,2.2375118732452393,4.225360870361328,7.002549648284912,8.06716537475586,6.599344730377197,3.6921558380126953,1.288746953010559
4,0.7862347960472107,0.053897518664598465,70.24598936377008,114.41058128364446,104.52079499939005,0.003200990159401431,135.99917763157896,35.66603174603175,-487.1458740234375,67.97386169433594,56.8191032409668,42.862918853759766,30.60443878173828,22.91863250732422,20.053081512451172,20.042404174804688,20.170764923095703,18.59080696105957,15.181296348571777,11.253429412841797,8.450780868530273,7.6235246658325195,8.362981796264648,9.396705627441406,9.490857124328613,8.222029685974121,6.135363578796387,4.261828422546387
5,0.7663167715072632,0.05715199187397957,75.68669742948802,138.52700641639328,103.43155333449721,0.0034643418296089385,117.45383522727273,20.759002267573695,-513.6788330078125,117.3448257446289,81.32732391357422,41.26473617553711,14.280709266662598,8.153322219848633,18.331790924072266,32.16992950439453,37.605072021484375,30.41177749633789,15.547962188720703,2.4991464614868164,-1.6629067659378052,3.320723295211792,11.641966819763184,16.1838321685791,13.585360527038574,6.064196586608887,-0.8699014782905579,-2.714693546295166
6,0.7711460590362549,0.04660047963261604,65.90522114736088,99.98282000930831,107.39282274215192,0.003081858429570592,135.99917763157896,35.66603174603175,-496.97479248046875,74.44371032714844,63.657958984375,50.00267791748047,37.540740966796875,28.869321823120117,24.308656692504883,22.246469497680664,20.444860458374023,17.470903396606445,13.364765167236328,9.295282363891602,6.57415771484375,5.721339702606201,6.178238868713379,6.765069484710693,6.492099761962891,5.165698528289795,3.404308319091797,2.1128902435302734
7,0.7875546813011169,0.021356994286179543,108.18092327687464,210.8123514223798,164.98089912103046,0.003412272662832145,135.99917763157896,35.80553287981859,-600.655517578125,128.84097290039062,82.36007690429688,30.322500228881836,-4.685612201690674,-11.534146308898926,4.80048942565918,28.0268497467041,41.363121032714844,37.2260856628418,20.15222930908203,2.000962734222412,-6.615599632263184,-2.8037140369415283,8.029060363769531,17.033855438232422,18.25908088684082,12.090231895446777,3.916837215423584,-0.4045071601867676
8,0.7053482532501221,0.008841528557240963,200.37365459084154,285.879104939674,570.4554401429845,0.009988405298120544,135.99917763157896,35.80553287981859,-628.756103515625,144.7882080078125,89.10356140136719,27.483518600463867,-12.517520904541016,-18.240604400634766,2.8516321182250977,30.172061920166016,43.91374206542969,36.6876106262207,15.941049575805664,-3.2714338302612305,-9.327994346618652,-1.2135632038116455,12.39570426940918,20.459501266479492,17.518264770507812,6.731320858001709,-3.4923160076141357,-6.138608455657959
9,0.7200539112091064,0.010002375580370426,160.70650069035594,218.22182115477816,341.224365234375,0.007910790381493506,135.99917763157896,35.736009070294784,-611.1766357421875,125.71542358398438,85.58702087402344,39.52893829345703,6.490780830383301,-3.8491337299346924,5.0295634269714355,20.434724807739258,29.1744384765625,25.32151222229004,12.44266414642334,-0.3719741702079773,-5.363770961761475,-1.0718008279800415,7.5739665031433105,13.459884643554688,12.428285598754883,5.745098114013672,-1.478778600692749,-4.3525567054748535
